Inline No.,Hangingwall,Footwall,Throw,,,,,,,
10849,3570.57,3584.5,13.93,,,,,,,
10850,3569.62,3582.5,12.88,,,,,,,
10851,3569.57,3586.89,17.32,,,,,,,
10852,3569.61,3588.58,18.97,,,,,,,
10853,3569.61,3591.27,21.66,,,,,,,
10854,3569.4,3590.91,21.51,,,,,,,
10855,3569.71,3594.56,24.85,,,,,,,
10856,3568.49,3596.72,28.23,,,,,,,
10857,3569.71,3599.13,29.42,,,,,,,
10858,3569.82,3600.18,30.36,,,,,,,
10859,3569.46,3600.47,31.01,,,,,,,
10860,3568.66,3601.37,32.71,,,,,,,
10861,3581.05,3615.1,34.05,,,,,,,
10862,3580.69,3615.1,34.41,,,,,,,
10863,3581.04,3614.98,33.94,,,,,,,
10864,3581.02,3614.32,33.3,,,,,,,
10865,3581.02,3614.47,33.45,,,,,,,
10866,3581.61,3614.77,33.16,,,,,,,
10867,3580.71,3616.72,36.01,,,,,,,
10868,3579.66,3618.2,38.54,,,,,,,
10869,3578.77,3619.09,40.32,,,,,,,
10870,3577.72,3620.59,42.87,,,,,,,
10871,3577.57,3619.85,42.28,,,,,,,
10872,3577.28,3619.54,42.26,,,,,,,
10873,3577.72,3619.7,41.98,,,,,,,
10874,3577.63,3619.31,41.68,,,,,,,
10875,3577.48,3620.8,43.32,,,,,,,
10876,3577.18,3621.99,44.81,,,,,,,
10877,3577.33,3623.04,45.71,,,,,,,
10878,3577.18,3621.84,44.66,,,,,,,
10879,3577.33,3621.99,44.66,,,,,,,
10880,3577.63,3622.43,44.8,,,,,,,
10881,3577.9,3624.39,46.49,,,,,,,
10882,3578.27,3624.76,46.49,,,,,,,
10883,3578.64,3625.13,46.49,,,,,,,
10884,3579.58,3626.06,46.48,,,,,,,
10885,3579.95,3626.06,46.11,,,,,,,
10886,3580.69,3625.69,45,,,,,,,
10887,3580.51,3625.87,45.36,,,,,,,
10888,3579.95,3626.06,46.11,,,,,,,
10889,3579.9,3626.45,46.55,,,,,,,
10890,3579.2,3627.38,48.18,,,,,,,
10891,3578.83,3628.31,49.48,,,,,,,
10892,3578.09,3628.87,50.78,,,,,,,
10893,3578.27,3629.05,50.78,,,,,,,
10894,3578.09,3627.94,49.85,,,,,,,
10895,3578.09,3628.12,50.03,,,,,,,
10896,3578.09,3628.87,50.78,,,,,,,
10897,3578.09,3629.8,51.71,,,,,,,
10898,3577.8,3630.45,52.65,,,,,,,
10899,3578.02,3631.21,53.19,,,,,,,
10900,3577.65,3631.42,53.77,,,,,,,
10901,3577.44,3632.16,54.72,,,,,,,
10902,3577.26,3632.24,54.98,,,,,,,
10903,3577.07,3632.53,55.46,,,,,,,
10904,3576.7,3632.9,56.2,,,,,,,
10905,3576.51,3633.46,56.95,,,,,,,
10906,3576.33,3634.21,57.88,,,,,,,
10907,3577.26,3634.58,57.32,,,,,,,
10908,3576.06,3636.85,60.79,,,,,,,
10909,3576.2,3637.44,61.24,,,,,,,
10910,3575.91,3637.44,61.53,,,,,,,
10911,3575.45,3637.74,62.29,,,,,,,
10912,3575.3,3636.24,60.94,,,,,,,
10913,3576.06,3635.5,59.44,,,,,,,
10914,3576.8,3635.5,58.7,,,,,,,
10915,3577.25,3635.2,57.95,,,,,,,
10916,3577.69,3635.35,57.66,,,,,,,
10917,3577.69,3634.6,56.91,,,,,,,
10918,3577.25,3634.31,57.06,,,,,,,
10919,3576.65,3632.97,56.32,,,,,,,
10920,3576.65,3631.32,54.67,,,,,,,
10921,3575.16,3629.67,54.51,,,,,,,
10922,3574.71,3627.74,53.03,,,,,,,
10923,3574.47,3625.81,51.34,,,,,,,
10924,3574.47,3624.81,50.34,,,,,,,
10925,3573.88,3623.17,49.29,,,,,,,
10926,3573.73,3621.82,48.09,,,,,,,
10927,3573.28,3620.33,47.05,,,,,,,
10928,3572.69,3619.14,46.45,,,,,,,
10929,3572.39,3618.24,45.85,,,,,,,
10930,3572.09,3617.34,45.25,,,,,,,
10931,3571.94,3615.85,43.91,,,,,,,
10932,3571.66,3614.84,43.18,,,,,,,
10933,3571.52,3613.64,42.12,,,,,,,
10934,3571.66,3613.19,41.53,,,,,,,
10935,3571.52,3612.15,40.63,,,,,,,
10936,3571.52,3611.4,39.88,,,,,,,
10937,3571.92,3610.28,38.36,,,,,,,
10938,3572.02,3609.54,37.52,,,,,,,
10939,3572.02,3608.23,36.21,,,,,,,
10940,3571.61,3607.33,35.72,,,,,,,
10941,3571.49,3606.49,35,,,,,,,
10942,3571.61,3605.63,34.02,,,,,,,
10943,3571.59,3605.05,33.46,,,,,,,
10944,3571.59,3603.52,31.93,,,,,,,
10945,3571.4,3602.95,31.55,,,,,,,
10946,3571.4,3602.19,30.79,,,,,,,
10947,3571.4,3590.81,19.41,,,,,,,
10948,3570.99,3587.56,16.57,,,,,,,
10949,3570.99,3584.9,13.91,,,,,,,
10950,3570.68,3584.52,13.84,,,,,,,
10951,3570.41,3584.32,13.91,,,,,,,
10952,3570.02,3584.4,14.38,,,,,,,
10953,3570.02,3584.25,14.23,,,,,,,
10954,3569.49,3584.32,14.83,,,,,,,
10955,3569.18,3584.55,15.37,,,,,,,
10956,3568.88,3584.79,15.91,,,,,,,
10957,3568.5,3584.55,16.05,,,,,,,
10958,3568.02,3584.32,16.3,,,,,,,
10959,3567.88,3584.08,16.2,,,,,,,
10960,3567.63,3583.44,15.81,,,,,,,
10961,3567.29,3583.25,15.96,,,,,,,
10962,3566.9,3582.66,15.76,,,,,,,
10963,3566.7,3582.27,15.57,,,,,,,
10964,3566.31,3581.73,15.42,,,,,,,
10965,3565.92,3581.24,15.32,,,,,,,
10966,3565.47,3580.55,15.08,,,,,,,
10967,3565.08,3579.91,14.83,,,,,,,
10968,3564.59,3578.98,14.39,,,,,,,
10969,3563.96,3578.39,14.43,,,,,,,
10970,3563.53,3577.45,13.92,,,,,,,
10971,3563.3,3576.68,13.38,,,,,,,
10972,3562.84,3575.3,12.46,,,,,,,
10973,3562.45,3574.77,12.32,,,,,,,
10974,3561.77,3573.54,11.77,,,,,,,
10975,3561.23,3572.47,11.24,,,,,,,
10976,3560.47,3572.18,11.71,,,,,,,
10977,3560.11,3570.75,10.64,,,,,,,
10978,3559.4,3569.67,10.27,,,,,,,
10979,3558.8,3568.12,9.32,,,,,,,
10980,3557.96,3566.69,8.73,,,,,,,
10981,3557.66,3565.5,7.84,,,,,,,
10982,3557.95,3564.14,6.19,,,,,,,
10983,3557.08,3562.54,5.46,,,,,,,
10984,3555.65,3561,5.35,,,,,,,