Xline No.,Hangingwall,Footwall,Throw
4347,3037.86,3040.55,2.69
4348,3035.22,3040.61,5.39
4349,3035.96,3041.59,5.63
4350,3037.12,3044.95,7.83
4351,3039.75,3048.26,8.51
4352,3038.53,3048.8,10.27
4353,3039.51,3051.19,11.68
4354,3039.81,3052.9,13.09
4355,3039.98,3052.16,12.18
4356,3040.17,3054.23,14.06
4357,3041.09,3057.21,16.12
4358,3041.28,3057.58,16.3
4359,3041.23,3059.15,17.92
4360,3040.9,3060.68,19.78
4361,3041.59,3060.74,19.15
4362,3041.53,3061.72,20.19
4363,3041.18,3062.62,21.44
4364,3040.5,3062.13,21.63
4365,3040.4,3062.08,21.68
4366,3040.84,3062.71,21.87
4367,3041.65,3064.56,22.91
4368,3042.3,3065.86,23.56
4369,3042.15,3067,24.85
4370,3042.28,3066.45,24.17
4371,3041.97,3066.37,24.4
4372,3041.97,3066.67,24.7
4373,3043.12,3067.44,24.32
4374,3044.57,3069.2,24.63
4375,3045.34,3068.51,23.17
4376,3056.88,3082.96,26.08
4377,3057.38,3083.15,25.77
4378,3046.77,3069.79,23.02
4379,3047.16,3070.94,23.78
4380,3059.89,3085.25,25.36
4381,3060.87,3085.54,24.67
4382,3061.58,3084.95,23.37
4383,3050.09,3069.42,19.33
4384,3063.65,3086.72,23.07
4385,3064.14,3087.09,22.95
4386,3064.73,3086.31,21.58
4387,3065.71,3087.09,21.38
4388,3066.25,3086.75,20.5
4389,3067.32,3087.21,19.89
4390,3052.62,3074.5,21.88
4391,3052.42,3074.74,22.32
4392,3052.76,3076.11,23.35
4393,3053.05,3077.83,24.78
4394,3053.6,3078.11,24.51
4395,3053.72,3078.93,25.21
4396,3053.91,3078.44,24.53
4397,3054.43,3078.37,23.94
4398,3055.27,3077.07,21.8
4399,3056.5,3077.68,21.18
4400,3055.81,3078.52,22.71
4401,3056.8,3077.83,21.03
4402,3057.95,3079.9,21.95
4403,3058.33,3080.32,21.99
4404,3058.02,3080.36,22.34
4405,3057.49,3080.97,23.48
4406,3058.26,3080.13,21.87
4407,3058.49,3080.51,22.02
4408,3058.64,3079.44,20.8
4409,3059.48,3079.59,20.11
4410,3058.68,3080.94,22.26
4411,3058.61,3083.19,24.58
4412,3060.75,3084.67,23.92
4413,3059.96,3080.88,20.92
4414,3060.26,3081.37,21.11
4415,3060.56,3082.64,22.08
4416,3061.41,3082.83,21.42
4417,3062.27,3084.23,21.96
4418,3074.19,3097.07,22.88
4419,3074.61,3097.62,23.01
4420,3075.41,3097.8,22.39
4421,3075.79,3098.39,22.6
4422,3061.35,3083.84,22.49
4423,3062.73,3084.76,22.03
4424,3061.89,3083.99,22.1
4425,3062.27,3085.29,23.02
4426,3061.43,3085.21,23.78
4427,3061.35,3085.29,23.94
4428,3062.65,3086.13,23.48
4429,3062.18,3085.73,23.55
4430,3063.25,3085.96,22.71
4431,3063.71,3085.73,22.02
4432,3063.86,3085.31,21.45
4433,3063.86,3086.04,22.18
4434,3064.17,3085.62,21.45
4435,3064.17,3085.54,21.37
4436,3064.48,3085.35,20.87
4437,3064.78,3085.89,21.11
4438,3065.24,3085.35,20.11
4439,3064.09,3086.04,21.95
4440,3064.48,3086.58,22.1
4441,3064.17,3087.42,23.25
4442,3063.94,3087.57,23.63
4443,3063.66,3087.03,23.37
4444,3064.17,3088.41,24.24
4445,3064.01,3088.72,24.71
4446,3064.01,3088.95,24.94
4447,3064.73,3089.2,24.47
4448,3065.16,3089.32,24.16
4449,3065.77,3089.87,24.1
4450,3065.64,3089.63,23.99
4451,3066.21,3088.68,22.47
4452,3066.55,3087.99,21.44
4453,3066.95,3089.02,22.07
4454,3067.29,3089.95,22.66
4455,3068.29,3090.02,21.73
4456,3069.42,3090.27,20.85
4457,3069.96,3090.78,20.82
4458,3069.88,3090.53,20.65
4459,3070.64,3091.52,20.88
4460,3071.02,3091.98,20.96
4461,3071.72,3093.44,21.72
4462,3071.72,3092.74,21.02
4463,3083.95,3106.25,22.3
4464,3084.25,3107.01,22.76
4465,3085.23,3107.06,21.83
4466,3084.54,3107.4,22.86
4467,3085.28,3107.74,22.46
4468,3084.93,3108.77,23.84
4469,3085.52,3108.96,23.44
4470,3084.93,3108.62,23.69
4471,3085.13,3109.06,23.93
4472,3085.18,3109.11,23.93
4473,3074.53,3096.11,21.58
4474,3075.16,3096.16,21
4475,3075.26,3096.6,21.34
4476,3075.16,3096.71,21.55
4477,3075.21,3096.38,21.17
4478,3074.87,3096.52,21.65
4479,3074.68,3096.16,21.48
4480,3074.28,3095.43,21.15
4481,3074.43,3094.4,19.97
4482,3074.23,3095.43,21.2
4483,3073.55,3094.45,20.9
4484,3073.11,3095.18,22.07
4485,3073.6,3094.89,21.29
4486,3073.74,3093.96,20.22
4487,3072.91,3095.08,22.17
4488,3073.01,3095.18,22.17
4489,3072.96,3094.89,21.93
4490,3072.96,3093.86,20.9
4491,3072.72,3094.15,21.43
4492,3072.63,3093.86,21.23
4493,3071.74,3094.38,22.64
4494,3071.98,3093.22,21.24
4495,3071.74,3093.18,21.44
4496,3071.2,3092.88,21.68
4497,3070.42,3091.99,21.57
4498,3069.65,3091.6,21.95
4499,3069.65,3091.43,21.78
4500,3068.92,3091.14,22.22
4501,3068.53,3090.53,22
4502,3068.62,3090.75,22.13
4503,3066.43,3090.75,24.32
4504,3067.71,3090.57,22.86
4505,3067.27,3088.75,21.48
4506,3067.02,3088.51,21.49
4507,3066.92,3089.39,22.47
4508,3067.1,3090.31,23.21
4509,3068.4,3090.21,21.81
4510,3068.1,3090.15,22.05
4511,3068.04,3090.01,21.97
4512,3067.13,3089.67,22.54
4513,3067.06,3089.23,22.17
4514,3067.1,3088.39,21.29
4515,3067.06,3089.47,22.41
4516,3067.27,3089.23,21.96
4517,3068.5,3088.88,20.38
4518,3068.87,3088.54,19.67
4519,3068.28,3088.54,20.26
4520,3069.2,3088.11,18.91
4521,3069.59,3087.91,18.32
4522,3069.94,3087.99,18.05
4523,3069.63,3088.53,18.9
4524,3069.63,3089.36,19.73
4525,3070.14,3090.03,19.89
4526,3069.67,3088.79,19.12
4527,3084.66,3101.23,16.57
4528,3082.37,3098.56,16.19
4529,3082.51,3098.41,15.9
4530,3082.2,3099.11,16.91
4531,3082.05,3099.98,17.93
4532,3082.12,3100.1,17.98
4533,3082.12,3100.28,18.16
4534,3081.81,3100.12,18.31
4535,3081.81,3099.67,17.86
4536,3081.54,3099.47,17.93
4537,3081.5,3099.34,17.84
4538,3081.33,3099.55,18.22
4539,3081.42,3099.16,17.74
4540,3081.11,3098.26,17.15
4541,3081.52,3096.38,14.86
4542,3080.72,3095.59,14.87
4543,3081.81,3095.95,14.14
4544,3081.92,3096.49,14.57
4545,3082.35,3096.53,14.18
4546,3083.17,3096.68,13.51
4547,3083.47,3096.49,13.02
4548,3083.92,3087.36,3.44
4549,3083.67,3088.61,4.94
4550,3083.04,3088.65,5.61
4551,3082.61,3088.96,6.35
4552,3082.17,3089.31,7.14
4553,3081.76,3089.4,7.64
4554,3081.43,3089.69,8.26
4555,3080.88,3089.77,8.89
4556,3080.17,3089.88,9.71
4557,3079.55,3089.73,10.18
4558,3079.12,3089.73,10.61
4559,3078.71,3089.75,11.04
4560,3078.4,3089.98,11.58
4561,3077.69,3089.98,12.29
4562,3077.77,3090.1,12.33
4563,3077.3,3090.16,12.86
4564,3076.75,3090.46,13.71
4565,3076.54,3090.63,14.09
4566,3076.18,3090.32,14.14
4567,3074.89,3090.59,15.7
4568,3074.36,3090.36,16
4569,3073.68,3090.12,16.44
4570,3073.17,3090.01,16.84
4571,3072.93,3089.62,16.69
4572,3072.44,3088.51,16.07
4573,3071.98,3087.76,15.78
4574,3071.16,3087.06,15.9
4575,3070.6,3086.65,16.05
4576,3070.21,3086.51,16.3
4577,3069.57,3086.26,16.69
4578,3069.87,3086.65,16.78
4579,3069.28,3086.46,17.18
4580,3068.89,3086.7,17.81
4581,3068.84,3087.1,18.26
4582,3069.13,3086.53,17.4
4583,3072.02,3088.27,16.25
4584,3072.15,3088.17,16.02
4585,3072.23,3087.77,15.54
4586,3069.19,3086.11,16.92
4587,3069.39,3086.22,16.83
4588,3069,3086.26,17.26
4589,3069.08,3085.95,16.87
4590,3068.64,3085.76,17.12
4591,3068.68,3085.62,16.94
4592,3068.41,3085.31,16.9
4593,3068.84,3085.32,16.48
4594,3070.8,3086.8,16
4595,3068.33,3083.76,15.43
4596,3067.66,3083.29,15.63
4597,3067.27,3082.9,15.63
4598,3067.66,3082.19,14.53
4599,3066.69,3081.88,15.19
4600,3066.18,3081.64,15.46
4601,3066.1,3081.76,15.66
4602,3065.58,3081.5,15.92
4603,3065.74,3081,15.26
4604,3065.37,3080.78,15.41
4605,3064.86,3080.53,15.67
4606,3064.36,3080.18,15.82
4607,3063.52,3079.3,15.78
4608,3062.61,3078.3,15.69
4609,3061.59,3078.44,16.85
4610,3061.18,3078.34,17.16
4611,3060.84,3077.56,16.72
4612,3060.9,3077.59,16.69
4613,3060.21,3077.47,17.26
4614,3060.36,3076.56,16.2
4615,3059.71,3075.83,16.12
4616,3059.21,3075.5,16.29
4617,3058.84,3074.81,15.97
4618,3058.46,3074.34,15.88
4619,3057.68,3073.56,15.88
4620,3057.18,3072.5,15.32
4621,3057.37,3070.94,13.57
4622,3057,3069.97,12.97
4623,3056.34,3069.09,12.75
4624,3055.81,3068.02,12.21
4625,3055.39,3066.84,11.45
4626,3054.67,3065.94,11.27
4627,3054.04,3065.27,11.23
4628,3053.38,3064.44,11.06
4629,3052.97,3063.72,10.75
4630,3051.94,3063.03,11.09
4631,3051.03,3062.34,11.31
4632,3050.12,3061.71,11.59
4633,3049.98,3061.2,11.22
4634,3049.48,3060.48,11
4635,3048.92,3060.91,11.99
4636,3048.21,3061.48,13.27
4637,3047.98,3061.57,13.59
4638,3047.9,3061.26,13.36
4639,3047.63,3060.78,13.15
4640,3046.96,3060.08,13.12
4641,3047,3059.38,12.38
4642,3046.9,3058.83,11.93
4643,3047.24,3057.98,10.74
4644,3047.05,3057.33,10.28
4645,3046.83,3056.39,9.56
4646,3046.71,3055.64,8.93
4647,3046.66,3054.84,8.18
4648,3046.28,3054.21,7.93
4649,3046.37,3053.43,7.06
4650,3046.6,3052.36,5.76
4651,3046.68,3051.18,4.5
4652,3045.9,3050.13,4.23
4653,3046.22,3049.13,2.91
